#⃣	Teclas: #|Teclas
*⃣	Teclas: *|Teclas
🎡	noria|atracciones|entretenimiento|feria|noria de feria|vuelta al mundo
🎢	montaña rusa|diversion|diversiones|entretenimiento|montaña|parque|parque atracciones|rusa
🎣	caña de pescar|caña|caña pescar con pez|deporte|entretenimiento|esparcimiento|libre|pesca|pescado|pescar
🎤	micrófono|artista|cantante|cantar|entretenimiento|karaoke|micro|música|sonido|voz
🎥	filmadora|cámara|cámara cinematográfica|cine|entretenimiento|película
🎦	filmar|botón|cámara|cine|entretenimiento|película|símbolo cine
🎧	audífonos|auricular|cascos|entretenimiento|música
🎨	paleta de pinturas|arte|artista|entretenimiento|paleta|paleta de pintor|pintor|pintura
🎩	galera|caballero|chistera|complementos|copa|hombre|sombrero|sombrero de copa|sombreros
🎪	circo|carpa|carpa de circo|entretenimiento
🎫	boleto|acceso|admisión|billete|entrada|entretenimiento
🎬	claqueta|cine|claqueta de cine|entretenimiento|película
🎭	máscaras de teatro|actuación|arte|artes|artes escénicas|carnaval|entretenimiento|máscaras|obra de teatro|teatro
🎮	video juegos|control|entretenimiento|joystick|juego|mando|mando de videoconsola|video|videojuego
🎯	dardo en el centro|blanco|centro|dardo|dardos|diana|en el blanco|juego|objetivo|tiro al blanco
🎰	tragamonedas|apostar|apuesta|apuestas|casino|juego|las vegas|máquina|máquina tragaperras
🎱	bola ocho|8|billar|bola|bola negra billar|juego|ocho|pool
🎲	dado|casino|juego
🎳	bolos|bola|bola de bolos|bolera|boliche|bowling|juego
🎴	carta|flor|Hanafuda|japonés|juego|juego cartas|naipe|naipe de flor
🎵	nota musical|corchea|música|nota|sonido
🎶	notas musicales|corchea|música|nota|notas
🎷	saxofón|instrumento|instrumento musical|música|saxo
🎸	guitarra|instrumento|instrumento musical|música|rock
🎹	teclado musical|instrumento|instrumento musical|música|piano|teclado
🎺	trompeta|instrumento|instrumento musical|música
🎻	violín|instrumento|instrumento musical|música|orquesta
🎼	pentagrama|clave|clave de sol|música|partitura|sol
🎽	camiseta para correr|azul|camiseta|camiseta con banda|camiseta de correr|deporte|franelilla|musculosa|sin mangas
🎾	pelota de tenis|deporte|pelota|raqueta|tenis
🎿	esquís|deporte|esquí|esquiar|esquíes|nieve
🏀	pelota de básquet|balón|balón de baloncesto|baloncesto|basket|basketball|básquet|básquetbol|canasta|cesto|deporte|pelota
🏁	bandera de cuadros|bandera|carreras|cuadros|deporte|motor
🏂	snowboard|nieve|practicante de snowboard
🏃	persona corriendo|carrera|corredor|correr|deporte|deportista|hombre corriendo|maratón|maratonista|persona|voy
🏃‍♀	mujer corriendo|apuro|corredor|maraton|rapido|velocidad|veloz
🏃‍♀‍➡	mujer corriendo: hacia la derecha|apuro|corredor|derecha|hacia|la|maraton|mujer corriendo|rapido|velocidad|veloz
🏃‍♂	hombre corriendo|carrera|correr|hombre|maratón
🏃‍♂‍➡	hombre corriendo: hacia la derecha|carrera|correr|derecha|hacia|hombre|hombre corriendo|la|maratón
🏃‍➡	persona corriendo: hacia la derecha|carrera|corredor|correr|deporte|deportista|derecha|hacia|hombre corriendo|la|maratón|maratonista|persona|persona corriendo|voy
🏄	persona haciendo surf|cool|deporte|deportes|ola|persona|playa|surf|surfear|surfista
🏄‍♀	mujer haciendo surf|mujer|surf|surfera|surfista
🏄‍♂	hombre haciendo surf|hombre|surf|surfero|surfista
🏅	medalla deportiva|campeón|deportes|ganar|medalla|oro|premio|primer|triunfo
🏆	trofeo|campeón|copa|ganar|premio|victoria
🏇	carrera de caballos|amazona|caballo|caballo de carreras|carrera|carreras|deporte|jinete|jockey|yóquey
🏈	pelota de fútbol americano|americano|balón|deporte|fútbol|juego|jugar|pelota
🏉	pelota de rugby|balón|balón de rugby|deporte|pelota|rugby
🏊	persona nadando|nadar|natación
🏊‍♀	mujer nadando|mujer|nadar
🏊‍♂	hombre nadando|hombre|nadar
🏋	persona levantando pesas|deporte|entrenamiento|entrenamiento con pesas|fisicoculturismo|gym|hacer|levantamiento de pesas|levantar|pesas
🏋‍♀	mujer levantando pesas|gimnasio|gym|hacer pesas|halterofilia|levantadora de pesas|levantar|pesas
🏋‍♂	hombre levantando pesas|gimnasio|gym|hacer pesas|halterofilia|levantadora de pesas|levantar|pesas
🏌	persona jugando al golf|golf|golfista|pelota
🏌‍♀	mujer jugando al golf|golf|jugadora|mujer
🏌‍♂	hombre jugando al golf|golf|hombre|jugador
🏍	motocicleta|carreras|moto|transporte|vehículo
🏎	auto de carrera|auto|automóvil|carrera|carreras|carro|coche|coche de carreras|F1|rápido
🏏	cricket|criquet|críquet|deporte|juego|pelota
🏐	pelota de vóleibol|deporte|juego|pelota|voleibol|vóleibol
🏑	hockey sobre hierba|césped|deporte|hockey|hockey sobre césped|juego|palo|pelota
🏒	hockey sobre hielo|deporte|disco|hielo|hockey|palo|palo de hockey sobre hielo y disco
🏓	tenis de mesa|deporte|juego|mesa|paleta|pelota|ping|ping-pong|pong
🏔	montañas nevadas|frío|montaña|montaña con nieve|naturaleza|nieve
🏕	campamento|acampada|acampar|camping|carpa|vacaciones
🏖	playa y sombrilla|arena|isla|mar|oceano|playa|sol|sombrilla|vacaciones|verano
🏗	edificio en construcción|construcción|edificio|obra
🏘	viviendas|casas|edificio|urbanización|vecino
🏙	paisaje urbano|ciudad|edificio|edificios|paisaje|rascacielos
🏚	edificio abandonado|abandonada|casa|deshabitada|inhabitada|vacía
🏛	edificio clásico|clásico|edificio|monumento|roma|romano
🏜	desierto|amarillo|arena|atardecer|calor|oasis|paisaje|sol|verano
🏝	isla desierta|desierta|isla|playa
🏞	parque nacional|atracción|montaña|parque|vacaciones
🏟	estadio|campo|cancha|concierto|deporte|espectáculo|juego
🏠	casa|casa de campo|construcción|hogar|vivienda
🏡	casa con jardín|casa|casa de campo|construcción|hogar|jardín|vivienda
🏢	edificio de oficinas|construcción|edificio|oficinas
🏣	oficina de correo japonesa|correo|correos|edificio|oficina|oficina correos japonesa
🏤	oficina de correo europea|correo|correos|edificio|oficina|oficina correos europea
🏥	hospital|edificio|emergencia|medicina|médico|urgencia
🏦	banco|banca|edifício
🏧	cajero automático|atm|banco|cajero|cuadrado cajero automático|dinero|señal de cajero automático
🏨	hotel|alojamiento|edificio|turismo
🏩	motel|alojamiento|amor|edificio|hotel|hotel del amor
🏪	tienda 24 horas|24 horas|edificio|establecimiento|tienda de comestibles
🏫	escuela|colegio|edificio|edificio de colegio|universidad
🏬	centro comercial|almacen|centro|comercial|comprar|edificio|grandes almacenes|shopping|tienda
🏭	fábrica|edificio|industria
🏮	farol de papel japonés|farol|izakaya|linterna|linterna japonesa|papel|restaurante|roj|roja
🏯	castillo japonés|castillo|construcción|edificio|japones|japonés
🏰	castillo europeo|castillo|construcción|edificio|Europa|reina|rey
🏳	bandera blanca|bandera|blanca|paz
🏳‍⚧	bandera transgénero|bandera|blanco|celeste|LGTB|rosa|transgénero
🏳‍🌈	bandera del arcoíris|arcoiris|arcoíris|bandera del orgullo LGTB+|gay|homosexual|LGTBQIA|orgullo
🏴	bandera negra|bandera|negra
🏴‍☠	bandera pirata|botín|Jolly Roger|pirata|tesoro
🏴󠁧󠁢󠁥󠁮󠁧󠁿	Bandera: Inglaterra|Bandera
🏴󠁧󠁢󠁳󠁣󠁴󠁿	Bandera: Escocia|Bandera
🏴󠁧󠁢󠁷󠁬󠁳󠁿	Bandera: Gales|Bandera
🏵	roseta|flor|naturaleza|planta
🏷	etiqueta
🏸	bádminton|deporte|pluma|raqueta|volante
🏹	arco y flecha|arco|arma|arquero|flecha|Sagitario|zodíaco
🏺	vasija|acuario|ánfora|beber|jarra|zodíaco
🐀	rata|animal|roedor
🐁	ratón|rata|roedor
🐂	buey|animal|cabestro|tauro|toro|zodíaco
🐃	búfalo de agua|animal|búfalo|zoológico
🐄	vaca|animal|bovino|granja|leche|res
🐅	tigre|animal|fauna|felino|gato grande|zoológico
🐆	leopardo|animal|fauna|felino|gato grande|zoológico
🐇	conejo|animal|conejito|gazapo|liebre|mascota
🐈	gato|animal|felino|gatito|minino
🐈‍⬛	gato negro|animal|felino|gatito|gato|halloween|miau|negro|suerte|superstición
🐉	dragón|animal|dracarys|juego de tronos|mitología
🐊	cocodrilo|animal|caimán|florida|zoologico
🐋	ballena|animal|cachalote|cetáceo|mar|marino|oceano|orca
🐌	caracol|animal|caracola|molusco
🐍	serpiente|animal|culebra|reptil|víbora
🐎	caballo|caballo de carreras|carreras de caballos|ecuestre
🐏	carnero|animal|Aries|cuernos|morueco|zoológico
🐐	cabra|animal|caprino|chivo|zodíaco|zoológico
🐑	oveja|animal|borrego|cordero|granja|ovino
🐒	mono|animal|cara|cara de mono|chango|chimpancé|macaco|simio
🐓	gallo|animal|ave|galliforme|gallinácea|gallinero|pollo
🐔	gallina|animal|ave|gallinácea|pollo
🐕	perro|cachorro|mascota|perrito
🐕‍🦺	perro de servicio|accesibilidad|animal|apoyo|asistencia|lazarillo|perro
🐖	cerdo|animal|chancho|chuleta|cochino|grasa|jamón|puerco|tocineta
🐗	jabalí|animal|cerdo salvaje|granja
🐘	elefante|animal|paquidermo
🐙	pulpo|animal|cefalópodo|mar|oceano|octópodo
🐚	caracola marina|animal|caracol|caracola|concha|concha de caracol|mar|marino|oceano|playa
🐛	oruga|animal|bicho|gusano|insecto|naturaleza
🐜	hormiga|antenas|insecto
🐝	abeja|animal|flores|insecto|miel|naturaleza|primavera
🐞	mariquita|animal|cochinilla|escarabajo|insecto|jardin|naturaleza
🐟	pez|animal|cena|mar|pececillo|pescado|pescar|Picis
🐠	pez tropical|animal|mar|oceano|pez|playa|tropical
🐡	pez globo|animal|mar|oceano|pez
🐢	tortuga|animal|galápago
🐣	pollito rompiendo el cascarón|animal|cascarón|huevo|nacer|nacimiento de pollito|pollito|pollito rompiendo cascarón|pollo
🐤	pollito|animal|ave|cara de pollito|cara de pollito de perfil|pollo|polluelo
🐥	pollito de frente|animal|pollito
🐦	pájaro|ave|pajarillo
🐦‍⬛	pájaro negro|animal|cuervo|graja|grajo|negro|pájaro|pico|zanate
🐦‍🔥	fénix|ave de fuego|ave en llamas|ave fénix|emerger|reinventarse|renacimiento|renovación|revivir|transformarse
🐧	pingüino|animal|antartica|pájaro bobo|polo norte
🐨	koala|animal|Australia|bambú|cara|marsupial
🐩	caniche|animal|french poodle|mascota|perrito|perro|perro de aguas|poodle|pudle
🐪	dromedario|camello|desierto|joroba
🐫	camello|bactriano|desierto|dromedario|jorobas
🐬	delfín|animal|cetáceo|flipper|mar|oceano|playa
🐭	cara de ratón|animal|cara|ratón|roedor
🐮	cara de vaca|animal|cara|finca|granja|leche|vaca
🐯	cara de tigre|animal|felino|gato|tigre
🐰	cara de conejo|animal|cara|conejo|mascota
🐱	cara de gato|animal|cara|gato|mascota
🐲	cara de dragón|animal|cara|dragón
🐳	ballena soplando un chorro de agua|animal|azul|ballena|ballena soltando chorro|chorro|chorro de agua|mar|marino|oceano
🐴	cara de caballo|animal|caballo|cara caballo de perfil|cara de perfil|granja
🐵	cara de mono|animal|cara|chango|chimpancé|mono|simio
🐶	cara de perro|animal|cachorro|cara|mascota|perrito|perro
🐷	cara de cerdo|animal|cara|cerdo|chancho|chuleta|cochinito|cochino|granja|jamon|tocineta
🐸	rana|animal|cara|cara de rana|verde
🐹	hámster|animal|cara|cara de hámster|mascota|roedor
🐺	lobo|animal|cara|cara de lobo
🐻	oso|animal|cara|cara de oso|miel|osito
🐻‍❄	oso polar|ártico|blanco|polar
🐼	panda|animal|bamboo|bambú|cara|cara de panda|oso|zoologico
🐽	hocico de cerdo|cerdo|chancho|cochinito|cochino|hocico|morro|morro de cerdo|nariz|rosa
🐾	huellas de pezuñas|animal|huellas|huellas de perro|patas de perro|perro
🐿	ardilla|animal|nuez
👀	ojos|ahora lo veo|buscando|cara|cuerpo|mira esto|mirar|no sé|te leo
👁	ojo|cara|cuerpo|mira|ver
👁‍🗨	ojo en una burbuja de texto|bocadillo de texto|ojo|testigo
👂	oreja|cuerpo|escuchar|oído|oir
👃	nariz|cara|cuerpo|oler|olfato
👄	boca|beso|cara|cuerpo|labios
👅	lengua|broma|cara|cuerpo
👆	dorso de mano con dedo índice hacia arriba|apuntar arriba|arriba|dedo|dedo índice|dorso de mano con índice hacia arriba|índice apuntando hacia arriba|índice hacia arriba|mano
👇	dorso de mano con dedo índice hacia abajo|abajo|apuntar|dedo|dedo índice|dorso de mano con índice hacia abajo|índice apuntando hacia abajo|índice hacia abajo|mano
👈	dorso de mano con índice a la izquierda|apuntar a la izquierda|dedo|dedo índice|dorso de mano|índice apuntando izquierda|índice hacia izquierda|izquierda|mano
👉	dorso de mano con índice a la derecha|apuntar a la derecha|dedo|dedo índice|derecha|dorso de mano|índice apuntando hacia derecha|índice hacia derecha|mano
👊	puño cerrado|chócala|piedra|puñetazo|puño|rock
👋	mano saludando|adiós|agitar la mano|chau|hasta luego|hola|me voy|saludar|saludo
👌	señal de OK|bien|de acuerdo|entendido|genial|OK|perfecto|señal|sí|súper
👍	pulgar hacia arriba|+1|arriba|de acuerdo|mano|me gusta|ok|OK|pulgar arriba|subir
👎	pulgar hacia abajo|-1|abajo|bajar|mano|negativo|no|no me gusta|pulgar|rechazo
👏	manos aplaudiendo|aplaudir|aplauso|bravo|genial|manos|manos haciendo palmas|palmas|señal
👐	manos abiertas|manos|señal de manos abiertas
👑	corona|complementos|majestad|reina|rey|ropa|vestimenta
👒	sombrero de mujer|accesorio|jardín|mujer|ropa|sombrero|verano|vestimenta
👓	lentes|artículos|gafas|gafas graduadas|ropa|vestimenta
👔	corbata|accesorio|camisa|camisa con corbata|oficina|ropa|uniforme|vestimenta
👕	camiseta|remera|ropa|vestimenta
👖	jeans|mezclilla|pantalones|ropa|vaquero|vaqueros|vestimenta
👗	vestido|compras|moda|mujer|ropa|vestimenta
👘	kimono|japonés|ropa|vestido|vestimenta
👙	bikini|bañador|baño|nadar|pileta|piscina|playa|ropa|ropa de baño|traje|verano
👚	ropa de mujer|blusa|camisa|moda|mujer|ropa|ropa femenina|vestimenta
👛	monedero|cartera|dinero|moneda|monedas|mujer|ropa|vestimenta
👜	bolso|bolsa|bolso de mano|cartera|cartera de mano|mujer|ropa|vestido|vestimenta
👝	bolso de mano|bolsa|bolsa de mano|bolso
👞	zapato de hombre|café|calzado|hombre|marrón|pie|ropa|vestimenta|zapato
👟	zapato deportivo|calzado|carrera|correr|deporte|deportivas|ropa deportiva|tenis|vestimenta|zapatilla deportiva
👠	zapato de taco alto|mujer|tacón|tacones|zapato|zapato de tacón|zapatos
👡	sandalia de mujer|calzado|mujer|ropa|sandalia|vestimenta|zapatería
👢	bota de mujer|bota|calzado|mujer|ropa|vestimenta|zapato
👣	huellas|huellas de pies|pie|pies|pisada
👤	silueta de busto|busto|silueta
👥	dos siluetas de bustos|bustos|siluetas
👦	niño|cara|cara de niño|chico|joven|nene|persona
👧	niña|cara|cara de niña|chica|joven|nena|persona
👨	hombre|amigo|cara|cara de hombre|chico|muchacho|novio|persona|señor
👨‍⚕	profesional sanitario hombre|doctor|enfermero|médico|sanitario|terapeuta hombre
👨‍⚖	fiscal hombre|hombre|juez|justicia|magistrado
👨‍✈	piloto hombre|avión|capitán|hombre|piloto|vuelo
👨‍❤‍👨	pareja enamorada: hombre y hombre|amor|hombre|pareja|pareja enamorada|personas enamoradas
👨‍❤‍💋‍👨	pareja besándose: hombre y hombre|amor|beso|beso de pareja|dos personas besándose|hombre|pareja|pareja besándose|personas|romance|romántico
👨‍🌾	profesional de la agricultura hombre|agricultor|campo|granjero|hombre|labrador
👨‍🍳	chef hombre|chef|cocinero|hombre|pinche
👨‍🍼	hombre alimentando a bebé|alimentar|amamantar|bebé|hombre|lactancia
👨‍🎓	estudiante hombre|estudiante|graduado|hombre|licenciado|universitario
👨‍🎤	cantante hombre|artista|estrella|hombre|rock
👨‍🎨	artista hombre|hombre|paleta|pintor|pinturas
👨‍🏫	docente hombre|educador|hombre|instructor|maestro|profesor
👨‍🏭	profesional industrial hombre|fábrica|montaje|obrero|operario|trabajador
👨‍👦	familia: hombre y niño|familia|hombre|niño
👨‍👦‍👦	familia: hombre, niño, niño|familia|hombre|niño
👨‍👧	familia: hombre y niña|familia|hombre|niña
👨‍👧‍👦	familia: hombre, niña, niño|familia|hombre|niña|niño
👨‍👧‍👧	familia: hombre, niña, niña|familia|hombre|niña
👨‍👨‍👦	familia: hombre, hombre, niño|familia|hombre|niño
👨‍👨‍👦‍👦	familia: hombre, hombre, niño, niño|familia|hombre|niño
👨‍👨‍👧	familia: hombre, hombre, niña|familia|hombre|niña
👨‍👨‍👧‍👦	familia: hombre, hombre, niña, niño|familia|hombre|niña|niño
👨‍👨‍👧‍👧	familia: hombre, hombre, niña, niña|familia|hombre|niña
👨‍👩‍👦	familia: hombre, mujer, niño|familia|hombre|mujer|niño
👨‍👩‍👦‍👦	familia: hombre, mujer, niño, niño|familia|hombre|mujer|niño
👨‍👩‍👧	familia: hombre, mujer, niña|familia|hombre|mujer|niña
👨‍👩‍👧‍👦	familia: hombre, mujer, niña, niño|familia|hombre|mujer|niña|niño
👨‍👩‍👧‍👧	familia: hombre, mujer, niña, niña|familia|hombre|mujer|niña
👨‍💻	profesional de la tecnología hombre|desarrollador|hombre|informático|programador|tecnólogo
👨‍💼	oficinista hombre|director|ejecutivo|empresa|hombre|oficina|oficinista
👨‍🔧	profesional de la mecánica hombre|electricista|fontanero|hombre|mecánico|operario
👨‍🔬	profesional de la ciencia hombre|biólogo|científico|físico|hombre|químico
👨‍🚀	astronauta hombre|astronauta|cohete|espacio|hombre
👨‍🚒	bombero hombre|apagafuegos|bombero|camión|manguera
👨‍🦯	hombre con bastón|accesibilidad|bastón|ciego|hombre|invidente
👨‍🦯‍➡	hombre con bastón: hacia la derecha|accesibilidad|bastón|ciego|derecha|hacia|hombre|hombre con bastón|invidente|la
👨‍🦰	hombre: pelo pelirrojo|amigo|cara|cara de hombre|chico|hombre|muchacho|novio|pelo pelirrojo|persona|señor
👨‍🦱	hombre: pelo rizado|amigo|cara|cara de hombre|chico|hombre|muchacho|novio|pelo rizado|persona|señor
👨‍🦲	hombre: sin pelo|amigo|cara|cara de hombre|chico|hombre|muchacho|novio|persona|señor|sin pelo
👨‍🦳	hombre: pelo blanco|amigo|cara|cara de hombre|chico|hombre|muchacho|novio|pelo blanco|persona|señor
👨‍🦼	hombre en silla de ruedas eléctrica|accesibilidad|hombre|hombre en silla de ruedas|silla de ruedas
👨‍🦼‍➡	hombre en silla de ruedas eléctrica: hacia la derecha|accesibilidad|derecha|hacia|hombre|hombre en silla de ruedas|hombre en silla de ruedas eléctrica|la|silla de ruedas
👨‍🦽	hombre en silla de ruedas manual|accesibilidad|hombre|hombre en silla de ruedas|silla de ruedas
👨‍🦽‍➡	hombre en silla de ruedas manual: hacia la derecha|accesibilidad|derecha|hacia|hombre|hombre en silla de ruedas|hombre en silla de ruedas manual|la|silla de ruedas
👩	mujer|cara|cara de mujer|chica|persona|señora
👩‍⚕	profesional sanitario mujer|doctora|enfermera|médica|sanitaria|terapeuta mujer
👩‍⚖	fiscal mujer|jueza|justicia|magistrada|mujer
👩‍✈	piloto mujer|avión|capitana|mujer|piloto|vuelo
👩‍❤‍👨	pareja enamorada: mujer y hombre|amor|hombre|mujer|pareja|pareja enamorada|personas enamoradas
👩‍❤‍👩	pareja enamorada: mujer y mujer|amor|mujer|pareja|pareja enamorada|personas enamoradas
👩‍❤‍💋‍👨	pareja besándose: mujer y hombre|amor|beso|beso de pareja|dos personas besándose|hombre|mujer|pareja|pareja besándose|personas|romance|romántico
👩‍❤‍💋‍👩	pareja besándose: mujer y mujer|amor|beso|beso de pareja|dos personas besándose|mujer|pareja|pareja besándose|personas|romance|romántico
👩‍🌾	profesional de la agricultura mujer|agricultora|campo|granjera|labradora|mujer
👩‍🍳	chef mujer|chef|cocinera|mujer|pinche
👩‍🍼	mujer alimentando a bebé|alimentar|amamantar|bebé|lactancia|mujer
👩‍🎓	estudiante mujer|estudiante|graduada|licenciada|mujer|universitaria
👩‍🎤	cantante mujer|artista|estrella|mujer|rock
👩‍🎨	artista mujer|mujer|paleta|pintora|pinturas
👩‍🏫	docente mujer|educadora|instructora|maestra|mujer|profesora
👩‍🏭	profesional industrial mujer|fábrica|montaje|obrera|operaria|trabajadora
👩‍👦	familia: mujer y niño|familia|mujer|niño
👩‍👦‍👦	familia: mujer, niño, niño|familia|mujer|niño
👩‍👧	familia: mujer y niña|familia|mujer|niña
👩‍👧‍👦	familia: mujer, niña, niño|familia|mujer|niña|niño
👩‍👧‍👧	familia: mujer, niña, niña|familia|mujer|niña
👩‍👩‍👦	familia: mujer, mujer, niño|familia|mujer|niño
👩‍👩‍👦‍👦	familia: mujer, mujer, niño, niño|familia|mujer|niño
👩‍👩‍👧	familia: mujer, mujer, niña|familia|mujer|niña
👩‍👩‍👧‍👦	familia: mujer, mujer, niña, niño|familia|mujer|niña|niño
👩‍👩‍👧‍👧	familia: mujer, mujer, niña, niña|familia|mujer|niña
👩‍💻	profesional de la tecnología mujer|desarrolladora|informática|mujer|programadora|tecnóloga
👩‍💼	oficinista mujer|directora|ejecutiva|empresa|mujer|oficina|oficinista
👩‍🔧	profesional de la mecánica mujer|electricista|fontanera|mecánica|mujer|operaria
👩‍🔬	profesional de la ciencia mujer|bióloga|científica|física|mujer|química
👩‍🚀	astronauta mujer|astronauta|cohete|espacio|mujer
👩‍🚒	bombera|apagafuegos|bombera mujera|camión|manguera
👩‍🦯	mujer con bastón|accesibilidad|bastón|ciega|discapacidad visual|invidente|mujer
👩‍🦯‍➡	mujer con bastón: hacia la derecha|accesibilidad|bastón|ciega|derecha|discapacidad visual|hacia|invidente|la|mujer|mujer con bastón
👩‍🦰	mujer: pelo pelirrojo|cara|cara de mujer|chica|mujer|pelo pelirrojo|persona|señora
👩‍🦱	mujer: pelo rizado|cara|cara de mujer|chica|mujer|pelo rizado|persona|señora
👩‍🦲	mujer: sin pelo|cara|cara de mujer|chica|mujer|persona|señora|sin pelo
👩‍🦳	mujer: pelo blanco|cara|cara de mujer|chica|mujer|pelo blanco|persona|señora
👩‍🦼	mujer en silla de ruedas eléctrica|accesibilidad|mujer|mujer en silla de ruedas|silla de ruedas
👩‍🦼‍➡	mujer en silla de ruedas eléctrica: hacia la derecha|accesibilidad|derecha|hacia|la|mujer|mujer en silla de ruedas|mujer en silla de ruedas eléctrica|silla de ruedas
👩‍🦽	mujer en silla de ruedas manual|accesibilidad|mujer|mujer en silla de ruedas|silla de ruedas
👩‍🦽‍➡	mujer en silla de ruedas manual: hacia la derecha|accesibilidad|derecha|hacia|la|mujer|mujer en silla de ruedas|mujer en silla de ruedas manual|silla de ruedas
👪	familia
👫	mujer y hombre de la mano|amigos|esposos|hombre|hombre y mujer|mujer|pareja|pareja de la mano|pareja heterosexual|personas
👬	dos hombres de la mano|amigos|dos hombres|gays|hombres|hombres de la mano|novios|pareja|pareja de la mano|pareja homosexual masculina
👭	mujeres de la mano|amigas|dos mujeres|hermanas|manos|novias|pareja|pareja de la mano|pareja homosexual femenina|personas
👮	agente de policía|agente|personas|policía
👮‍♀	agente de policía mujer|agente|mujer|poli|policía
👮‍♂	agente de policía hombre|agente|hombre|poli|policía
👯	personas bailando con orejas de conejo|bailar|fiesta|orejas de conejo|personas|personas bailando|personas con orejas de conejo|personas de fiesta
👯‍♀	mujeres bailando con orejas de conejo|bailar|bailarinas|fiesta|mujeres|mujeres bailando|mujeres con orejas de conejo|mujeres de fiesta|orejas de conejo
👯‍♂	hombres bailando con orejas de conejo|bailar|bailarines|fiesta|hombres|hombres bailando|hombres con orejas de conejo|hombres de fiesta|orejas de conejo
👰	persona con velo|boda|novia|persona|velo
👰‍♀	mujer con velo|boda|mujer|novia|velo
👰‍♂	hombre con velo|boda|hombre|novio|velo
👱	persona adulta rubia|cabello rubio|cara|cara de persona con cabello rubio|humano|persona|persona rubia
👱‍♀	mujer rubia|mujer|mujer con cabello rubio|mujer: pelo rubio|pelo|pelo rubio|rubia
👱‍♂	hombre rubio|hombre|hombre con cabello rubio|hombre: pelo rubio|pelo|rubio
👲	persona con gorro chino|gorro|gua|gua pi mao|mao|persona
👳	persona con turbante|turbante
👳‍♀	mujer con turbante|mujer|turbante
👳‍♂	hombre con turbante|hombre|turbante
👴	hombre mayor|abuelo|anciano|calvo|cara|hombre|mayor|señor|viejo|yayo
👵	mujer mayor|abuela|anciana|cara|mayor|mujer|señora|vieja|yaya
👶	bebé|cara|cara de bebé|persona|recien nacido
👷	profesional de la construcción|casco|construcción|obrero|trabajador
👷‍♀	profesional de la construcción mujer|albañila|construcción|mujer|obrera|trabajadora
👷‍♂	profesional de la construcción hombre|albañil|construcción|hombre|obrero|trabajador
👸	princesa|cara de princesa|corona|cuento|cuento de hadas|fantasía|hadas|mujer|realeza|reina
👹	cara de ogro japonés|cuento|diablillo|diablo|fantasía|japonés|miedo|monstruo|ogro|oni
👺	cara de demonio japonés|cara|cuento|demonio|diablo|japonés|máscara|monstruo|tengu
👻	fantasma|cara|cuento|espanto|fantasía|monstruo|susto
👼	cara de ángel bebé|ángel|angelito|bebé|cara|cara de angelito|cielo|cuento|fantasía|iglesia
👽	alienígena|cara|cara de alienígena|ciencia ficción|cuento|espacio|extraterrestre|fantasía|ovni
👾	monstruo alienígena|cara de monstruo alienígena|criatura|cuento|extraterrestre|juego|maquinita|marcianito|monstruo|ovni
👿	cara morada enfadada con cuernos|cara|cara enfadada con cuernos|cuernos|demonio|diablillo|diablo|fantasía|granuja
💀	cráneo|calavera|cara|cuento|miedo|monstruo|muerte
💁	persona de mostrador de información|ayuda|centro de información|en serio|información|insolente|mano|mostrador|obvio|persona con la mano inclinada|sarcasmo
💁‍♀	empleada de mostrador de información|información|mano|mostrador|mujer
💁‍♂	empleado de mostrador de información|ayuda|centro de información|empleado de mostrador|en serio|hombre con la mano inclinada|información|insolente|mano|obvio|personas|sarcasmo
💂	guardia|guardia de palacio|guardia real
💂‍♀	guardia mujer|guardia|londres|mujer|palacio|palacio de buckingham|sombrero
💂‍♂	guardia hombre|guardia|hombre|vigilante
💃	mujer bailando|baila|bailar|bailarín|bailarina|baile|flamenca|flamenco|mujer|persona|salsa
💄	lápiz labial|barra de labios|cosméticos|labial|maquillaje|pintalabios
💅	pintarse las uñas|aplicación esmalte uñas|cosmética|cuidado de uñas|manicura|pintauñas|unas
💆	masaje facial|alivio|belleza|dolor de cabeza|masaje|persona recibiendo masaje|relajación|relax|salón|spa
💆‍♀	mujer recibiendo masaje|alivio|belleza|dolor de cabeza|masaje|masaje facial|relajación|relax|salón|spa
💆‍♂	hombre recibiendo masaje|alivio|belleza|dolor de cabeza|masaje|masaje facial|relajación|relax|salón|spa
💇	corte de pelo|belleza|corte de cabello|cosmetología|estilista|pelo|peluquería|persona cortándose el pelo|salón|salón de belleza
💇‍♀	mujer cortándose el pelo|belleza|corte|pelo|peluquero
💇‍♂	hombre cortándose el pelo|barbero|barbershop|corte de cabello|corte de pelo|estilista|pelo|peluquería
💈	barbería|barbero|peluquería|poste de barbero
💉	jeringa|aguja|análisis|doctor|hospital|inyección|jeringa cargada|medicina|sangre|vacuna
💊	píldora|comprimido|enfermo|medicamento|medicina|médico|pastilla|vitamina
💋	marca de beso|amor|beso|labial|labios|marca de labios|pintalabios|romance|sexy
💌	carta de amor|carta|carta con corazón|corazón|romance|sobre con corazón
💍	anillo|anillo de diamante|brillante|compromiso|matrimonio|romance
💎	piedra preciosa|azul|diamante|joya|romance
💏	pareja besándose|amor|beso|beso de pareja|dos personas besándose|pareja|personas|romance|romántico
💐	ramo de flores|amor|aniversario|flores|ramo|romance
💑	pareja enamorada|amor|pareja|personas enamoradas
